Url: ,https://www.zomato.com/mumbai/burger-king-dadar-west/order
"(9Pc) Crunchy Chicken Nuggets + 2 Dips,",199 rupee,"Qty: 200 Gms | Kcal: 548.3 | Carbs 39.3 Gms | Sugar: 4 Gms | Fat: 32 Gms | Saturated fat: 11.2 Gms | Protein: 25.4 Gms | Sodium: 401.3 Mg Contains: , Soybean , Milk"
Boneless Wings Regular.,169 rupee,"4Pcs Boneless Chicken Bites Qty: 95 Gms| Kcal: 213 | Carbs 16 Gms| Sugar: 0 Gms| Fat: 9.2 Gms| Saturated fat: 5.2 Gms| Protein: 16.8 Gms| Sodium: 555 Mg Contains: Gluten, Soybean, Milk"
Boneless Wings Large,269 rupee,"7Pcs Boneless Chicken Bites Qty: 165 Gms| Kcal: 371 | Carbs 27.9 Gms| Sugar: 0 Gms| Fat: 16 Gms| Saturated fat: 9.1 Gms| Protein: 29.2 Gms| Sodium: 963.8 Mg Contains: Gluten, Soybean, Milk"
Chicken Wings Fried - 2pcs.,99 rupee,
Chicken Wings Fried - Four Pieces.,179 rupee,Juicy chicken wings cooked to perfection.
Chicken Wings Fried - Ten Pieces,399 rupee,"Chicken Wings Fried To Perfection. Qty: 350 Gms| Kcal: 750 | Carbs 40.1 Gms| Sugar: 0 Gms| Fat: 47 Gms| Saturated fat: 18.5 Gms| Protein: 79.9 Gms| Sodium: 2020 Mg Contains: Gluten, Soybean, Milk"
Chicken Wings Fried - Fifteen Pieces,579 rupee,"Chicken Wings Fried To Perfection. Qty: 525 Gms| Kcal: 1125 | Carbs 60.8 Gms| Sugar: 0 Gms| Fat: 69.8 Gms| Saturated fat: 27 Gms| Protein: 119.3 Gms| Sodium: 3030 Mg Contains: Gluten, Soybean, Milk"
Korean Spicy Chicken (4 Pc)!,199 rupee,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 155 Gms| Kcal: 350.176 | Carbs 27.51 Gms| Sugar: 0 Gms| Fat: 15.5 Gms| Saturated fat: 5.75 Gms| Protein: 25.16 Gms| Sodium: 1592.60 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"""
Korean Spicy Chicken (7 Pc)!,299 rupee,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 221 Gms| Kcal: 595.04 | Carbs 24.77 Gms| Sugar: 0 Gms| Fat: 39.89 Gms| Saturated fat: 15.25 Gms| Protein: 34.23 Gms| Sodium: 2188.96 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"""
Korean Spicy Chicken Wings (4pc)!,229 rupee,"""Chicken Wings dunked in hot and sweet Korean glaze. Qty: 172 Gms| Kcal: 496.80 | Carbs 28.19 Gms| Sugar: 0 Gms| Fat: 30.34 Gms| Saturated fat: 11.04 Gms| Protein: 27.74 Gms| Sodium: 2714.33 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"""
"BK Fusion Shake (made with Kit Kat),",279 rupee,"Made with Kit Kat, enjoy our reach creamy fusion thick shake. Qty: 378 gms| Kcal: 703 | Carbs: 119 gms| Sugar: 71 gms| Fat: 19 gms| Saturated fat: 14 gms| Protein: 15 gms"
Ice Latte.,199 rupee,
Classic Cold Coffee.,199 rupee,Our signature BK Café Coffee ice blended with milk & cream
Chocolate Shake.,189 rupee,Our signature chocolate thick shake.
Mango Shake.,189 rupee,Our signature mango thick shake.
Berry Blast Thick Shake,189 rupee,"Our Signature Black Currant Thick Shake Qty: 300 ML| Kcal: 474 | Carbs 90.9 Gms| Sugar: 68.2 Gms| Fat: 8.8 Gms| Saturated fat: 6 Gms| Protein: 7.9 Gms| Sodium: 150.9 Mg Contains: Soybean, Milk"
"Mocha Frappe,",269 rupee,"Qty: 350 Gms | Kcal: 328 | Carbs 48.3 Gms | Sugar: 10.4 Gms | Fat: 10.2 Gms | Saturated fat: 38.2 Gms | Protein: 8.7 Gms | Sodium: 94.5 Mg Contains: , Milk"
Masala Chai,109 rupee,Masala Chai Qty: 200 Gms| Kcal: 84 | Carbs 15.8 Gms| Sugar: 1.1 Gms| Fat: 2.7 Gms| Saturated fat: 11.2 Gms| Protein: 0.7 Gms| Sodium: 36.2 Mg Contains: Milk
Cappuccino Small.,159 rupee,Small Cappuccino @ 99 Qty: 240 Gms| Kcal: 101 | Carbs 9.8 Gms| Sugar: 4.3 Gms| Fat: 5.8 Gms| Saturated fat: 0 Gms| Protein: 3 Gms| Sodium: 72 Mg Contains: Milk
Café Latte (Small),159 rupee,Our Signature Bk Café© Coffee With Steamed Milk. Qty: 240 Gms| Kcal: 110 | Carbs 9.8 Gms| Sugar: 4.9 Gms| Fat: 6.5 Gms| Saturated fat: 0 Gms| Protein: 3.4 Gms| Sodium: 79.2 Mg Contains: Milk
Hot Chocolate.,179 rupee,Hot Chocolate
Cappuccino (Regular),189 rupee,Espresso With Steamed Milk & Milk Froth. Qty: 330 Gms| Kcal: 138.9 | Carbs 13.5 Gms| Sugar: 5.9 Gms| Fat: 7.9 Gms| Saturated fat: 0 Gms| Protein: 4.1 Gms| Sodium: 99 Mg Contains: Milk
Café Latte (Regular),189 rupee,Our Signature Bk Café© Coffee With Steamed Milk. Qty: 330 Gms| Kcal: 151 | Carbs 13.5 Gms| Sugar: 6.8 Gms| Fat: 8.9 Gms| Saturated fat: 0 Gms| Protein: 4.8 Gms| Sodium: 108.9 Mg Contains: Milk
Mocha Cappuccino (Small).,199 rupee,"Our Signature Bk Café© Coffee With Chocolate Flavour Qty: 240 Gms| Kcal: 246 | Carbs 41 Gms| Sugar: 6.6 Gms| Fat: 5.8 Gms| Saturated fat: 26.4 Gms| Protein: 4.3 Gms| Sodium: 57.6 Mg Contains: Soybean, Milk"
Mocha Cappuccino (Regular),229 rupee,"Our Signature Bk Café© Coffee With Chocolate Flavour Qty: 330 Gms| Kcal: 338.5 | Carbs 56.4 Gms| Sugar: 9 Gms| Fat: 7.9 Gms| Saturated fat: 36.4 Gms| Protein: 5.9 Gms| Sodium: 79.2 Mg Contains: Soybean, Milk"
Americano (Regular),189 rupee,Our signature BK Café Coffee with Hot Water.
Americano (Small),159 rupee,Our signature BK Café Coffee with Hot Water.
Crispy Chicken Burger Peri Peri Meal (R),312.57 rupee,Crispy Chicken Burger+Peri Peri Fries( R)+Coke
Crispy Veg Burger Peri Peri Meal (R),283.57 rupee,Crispy Veg Burger+Peri Peri Fries( R)+Coke
2BK Veggie Burger +2Peri Peri Fries(R),515.14 rupee,2BK Veggie+2Peri Peri Fries( R)
"Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun) Med Meal,",363 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Extra Crunchy Veg patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Served with Fries and Coke. Qty: 759 gms| Kcal: 1014 | Carbs: 142 gms| Sugar: 58 gms| Fat: 41 gms| Saturated fat: 16 gms| Protein: 17 gms"
"BK Veggie Burger+Fries(Reg)+Coca Cola,",324 rupee,"Kcal: 683.63 | Carbs 353.64 Gms | Sugar: 42.39 Gms | Fat: 22.48 Gms | Saturated fat: 8.88 Gms | Protein: 15.6 Gms | Sodium: 944.2 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"
"Crispy Veg Double Patty Meal,",303 rupee,
"Chicken Makhani Burst+Fries(Reg)+Coke,",294 rupee,
Crispy Veg Combo (M),229 rupee,"Masaledar Veg Patty, Onion & Our Signature Tomato Herby Sauce. Served with Crispy Fries & Coca Cola. Kcal: 888.7 | Carbs 547.9 Gms| Sugar: 54.2 Gms| Fat: 27.2 Gms| Saturated fat: 11.7 Gms| Protein: 14.3 Gms| Sodium: 1365.3 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
Original Whopper Veg Combo (M),328 rupee,"Our Signature Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Served With Crispy Fries & Coca Cola. Kcal: 1203.8 | Carbs 594.5 Gms| Sugar: 75.1 Gms| Fat: 39.8 Gms| Saturated fat: 16.6 Gms| Protein: 21.7 Gms| Sodium: 1554.6 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
